Date             Gouvernorat        Cas positifs          Guérisons           Décès         Nombre de vaccinés

2/3/2020         Ariana                 5                    6                  5                   2
3/3/2020         Ariana                 78                   6                  5                   2
4/3/2020         Ariana                 4                    10                 9                   0
5/3/2020         Ariana                 15                   7                  3                   2
6/3/2020         Ariana                 5                    6                  5                   2
7/3/2020         Ariana                 20                   14                 5                   10
8/3/2020         Ariana                 30                   15                 6                   14
9/3/2020         Ariana                 55                   10                 10                  12
10/3/2020        Ariana                 70                   3                  12                  10
11/3/2020        Ariana                 85                   12                 10                  6
12/3/2020        Ariana                 95                   30                 17                  46
13/3/2020        Ariana                 110                  45                 25                  40
14/3/2020        Ariana                 130                  60                 35                  55
15/3/2020        Ariana                 145                  75                 50                  75
16/3/2020        Ariana                 160                  90                 40                  80
17/3/2020        Ariana                 180                  100                25                  80
18/3/2020        Ariana                 220                  120                21                  89
19/3/2020        Ariana                 250                  135                15                  100
20/3/2020        Ariana                 280                  150                30                  120
21/3/2020        Ariana                 300                  160                70                  70

2/3/2020         Beja                   8                    3                  2                   10
3/3/2020         Beja                   50                   10                 12                  5
4/3/2020         Beja                   53                   10                 9                   3
5/3/2020         Beja                   60                   14                 8                   12
6/3/2020         Beja                   50                   6                  5                   20
7/3/2020         Beja                   35                   14                 9                   30
8/3/2020         Beja                   10                   15                 10                  18
9/3/2020         Beja                   55                   10                 12                  25
10/3/2020        Beja                   70                   3                  15                  10
11/3/2020        Beja                   85                   12                 22                  40
12/3/2020        Beja                   100                  12                 30                  13
13/3/2020        Beja                   140                  73                 10                  40
14/3/2020        Beja                   113                  60                 55                  17
15/3/2020        Beja                   145                  80                 50                  75
16/3/2020        Beja                   116                  90                 14                  80
17/3/2020        Beja                   180                  100                10                  70
18/3/2020        Beja                   255                  120                25                  60
19/3/2020        Beja                   245                  115                15                  10
20/3/2020        Beja                   260                  150                30                  120
21/3/2020        Beja                   350                  200                75                  70

2/3/2020         Benarous               15                   2                  0                   10
3/3/2020         Benarous               78                   9                  8                   0
4/3/2020         Benarous               23                   10                 10                  8
5/3/2020         Benarous               15                   7                  1                   12
6/3/2020         Benarous               37                   4                  15                  22
7/3/2020         Benarous               40                   14                 2                   19
8/3/2020         Benarous               30                   15                 3                   40
9/3/2020         Benarous               55                   3                  17                  62
10/3/2020        Benarous               70                   8                  12                  77
11/3/2020        Benarous               85                   12                 30                  10
12/3/2020        Benarous               95                   30                 47                  46
13/3/2020        Benarous               110                  6                  25                  100
14/3/2020        Benarous               130                  60                 38                  55
15/3/2020        Benarous               145                  75                 50                  144
16/3/2020        Benarous               160                  90                 37                  80
17/3/2020        Benarous               180                  60                 45                  17
18/3/2020        Benarous               220                  100                29                  22
19/3/2020        Benarous               250                  140                15                  111
20/3/2020        Benarous               280                  150                30                  120
21/3/2020        Benarous               300                  185                111                 77

2/3/2020         Bizerte                31                   30                 1                   1
3/3/2020         Bizerte                45                   30                 10                  15
4/3/2020         Bizerte                33                   10                 9                   0
5/3/2020         Bizerte                35                   7                  5                   9
6/3/2020         Bizerte                37                   6                  2                   2
7/3/2020         Bizerte                40                   14                 5                   10
8/3/2020         Bizerte                30                   15                 5                   14
9/3/2020         Bizerte                55                   10                 55                  12
10/3/2020        Bizerte                70                   3                  4                   18
11/3/2020        Bizerte                45                   12                 0                   66
12/3/2020        Bizerte                115                  30                 77                  50
13/3/2020        Bizerte                119                  45                 29                  40
14/3/2020        Bizerte                144                  60                 40                  55
15/3/2020        Bizerte                135                  75                 50                  80
16/3/2020        Bizerte                180                  90                 40                  78
17/3/2020        Bizerte                140                  100                25                  57
18/3/2020        Bizerte                260                  120                21                  56
